UR	ŋan.ki.ɽi.ki.rim.pa.ji	Stress	Max	Dep	Ident(voice)	Ident(high)	Onset	Agree(LABIAL)	*Complex Onset	*Complex Coda	Align-L	Align-R	Ft-Bin	Trochaic	Align-Ft-L	Align-Ft-R	Leftmost	Nonfinality-syl-stress	*[+consonantal, -voice]	NoCoda	Agree(voice)	*CC	Parse	Rightmost	WSP	Nonfinality-syl-footing	Iambic	All-Ft-Right	All-Ft-Left
SR	ŋan.ki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pa.ji	(p.n).(s.n).n.(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	8!	7
	ŋan.ki.ɽi.ki.rim.pa.ji	(p.n).(s.n).(s.n).n	0	0	0	0	0	0	0	0	0	0	0	0	0	1!	0	0	3	2	2	2	1	5	0	0	3	9	6
	ŋan.ki.ɽi.ki.rim.pa.ji	(p.n).n.n.n.(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	3!	5	1	1	2	5	5
	ŋan.ki.ɽi.ki.rim.pa.ji	(p.n).n.n.n.n.n	0	0	0	0	0	0	0	0	0	0	0	0	0	5!	0	0	3	2	2	2	5	5	1	0	1	5	0
	ŋan.ki.ɽi.ki.rim.pa.ji	n.(p.n).(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	1!	0	1	0	3	2	2	2	1	4	2	1	3	6	9
	ŋan.ki.ɽi.ki.rim.pa.ji	(p.n).(s.n).(s.n).(s)	0	0	0	0	0	0	0	0	0	0	1!	0	0	0	0	1	3	2	2	2	0	5	0	1	3	9	12
	ŋan.ki.ɽi.ki.rim.paː.ji	(n.p).n.(n.s).(n.s)	0	0	0	0	0	0	0	0	0	0	0	3!	0	0	0	1	3	2	2	2	1	5	2	1	0	7	8
	ŋan.ci.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.riɱ.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pʌ.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋæːn.ki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pa.ɰ̠i	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽɪ.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
	ŋan.ki.ɽi.ki.rim.pa.jɨː	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	1!	0	0	0	0	0	0	3	2	2	2	1	5	2	1	3	7	8
	ŋɑn.ki.ɽi.ki.rim.pa.ji	(p.n).n.(s.n).(s.n)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	2	1	5	1	1	3	7	8
