			Max	Dep	Ident(voice)	Ident(high)	Onset	Agree(LABIAL)	*Complex Onset	*Complex Coda	Align-L	Align-R	Ft-Bin	Parse	Trochaic	Align-Ft-L	Align-Ft-R	Leftmost	Rightmost	Nonfinality-syl-stress	*[+consonantal, -voice]	Nocoda	Agree(voice)	*CC	Iambic	WSP	Nonfinality-syl-footing	All-Ft-Right	All-Ft-Left
			Max	Dep	Ident(voice)	Ident(high)	Onset	Agree(LABIAL)	*Complex Onset	*Complex Coda	Align-L	Align-R	Ft-Bin	Parse	Trochaic	Align-Ft-L	Align-Ft-R	Leftmost	Rightmost	Nonfinality-syl-stress	*[+consonantal, -voice]	Nocoda	Agree(voice)	*CC	Iambic	WSP	Nonfinality-syl-footing	All-Ft-Right	All-Ft-Left
nan.ki.ri.ki.rim.pa.ji	nan.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.ji|(p.n).(s.n).n.(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	8	7
	nan.ki.ri.ki.rim.ba.ji|(p.n).(s.n).(s.n).n		0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	5	0	2	2	1	2	3	0	0	9	6
	nan.ki.ri.ki.rim.pi.ji|(p.n).n.n.n.(s.n)		0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	5	0	3	2	2	2	2	1	1	5	5
	nʌn.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.pi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.k͡pʰi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rim.b͡βa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	1	2	3	1	1	7	8
	nan.ki.ri.ki.rim.pa.jɯ|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ɡ+ʰi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	1	2	3	1	1	7	8
	nan.ki.ri.ki.riɴ.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ɉi.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.riŋ.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ɡʰi.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	1	2	3	1	1	7	8
	nan.ki.ʀi.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.kiː.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nɨn.ki.ri.ki.rim.pa.ji|(p.n).n.(s.n).(s.n)		0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	2	2	2	3	1	1	7	8
	nan.ki.ri.ki.rʔim.pa.ji|(p.n).n.(s.n).(s.n)		0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	5	0	4	2	3	3	3	1	1	7	8
	nan.ki.ri.ki.rim.b͡da.ji|(p.n).n.(s.n).(s.n)		0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	2	1	2	3	1	1	7	8
