UR	at.ka.ʔi.tsa.tɡeo	Stress	Ident(high)	Ident(spread_gl)	Ident(long)	Ident(low)	Ident(front)	Ident(back)	Nocoda	Onset	Agree(LABIAL)	*Complex Coda	Align-R	Dep	Align-L	Max	Ident(voice)	*[+consonantal, -voice]	*[+consonantal, +CORONAL]	Agree(front)	*CC	*Complex Onset
SR	ka.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	oooad.ka.ʔe.t͡sa.dfao	na	2!	0	0	2	1	0	1	1	1	0	0	3	1	1	3	4	3	0	2	1
	at.ka.ʔi.tsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	4	1	3	2
	ha.ha.ha.ha.ha.ha.ha	na	2!	4	0	3	2	3	0	0	0	0	1	5	1	4	1	0	0	0	0	0
	at.cʰa.ʔi.tsa.tɡeo	na	0	1!	0	0	1	1	1	1	0	0	0	0	0	0	0	6	5	1	3	2
	æːt.ka.ʔi.tsa.tɡeo	na	0	0	1!	0	1	0	1	1	0	0	0	0	1	0	0	6	4	1	3	2
	at.ka.ʔi.tsa.tɡjo	na	1!	0	0	0	0	0	1	1	0	0	0	0	0	0	0	6	4	0	4	2
	at.ka.ʔi.tsaː.tɡeo	na	0	0	1!	0	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔi.tsa.tɡɨo	na	1!	0	0	0	1	0	1	1	0	0	0	0	0	0	0	6	4	0	3	2
	ka.ka.ʔi.tsa.dk̠eo	na	0	0	0	0	1!	1	0	0	0	0	0	1	1	1	2	6	3	1	2	2
	at.ka.ʔi.tsɑ.tɡeo	na	0	0	0	0	0	1!	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsa.dɡəeo	na	0	0	0	0	0	0	0	0	0	0	0	2!	1	1	1	5	3	2	2	2
	at.ka.əʔi.tsa.tɡeo	na	0	0	0	0	0	0	1!	2	0	0	0	1	0	0	0	6	4	1	3	2
	at.ka.ʔi.tsa.tɢ͡ʁeo	na	1!	0	0	0	1	1	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.qi.tsa.tɡeo	na	1!	0	0	1	1	1	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.k+͡x+ʰa.ʔi.tsa.tɡeo	na	0	1!	0	0	1	1	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	at.ka.ʔɪ.tsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	4	1	3	2
	c͡ça.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	4!	1	2	2
	at.ka.ʔi.tsa.t͡sɡeo	na	0	0	0	0	0	0	1!	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔɪː.tsa.dɡeo	na	0	0	1!	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔi.tsa.tkʰeo	na	0	1!	0	0	0	0	1	1	0	0	0	0	0	0	1	7	4	1	3	2
	ka.ka.ʔi.tʈ͡ʂa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔi.tsa.tɡeɔ	na	0	0	0	0	0	0	1!	1	0	0	1	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tʂʰa.dɡeo	na	0	1!	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tsa.dɣ̠ eo	na	0	0	0	0	1!	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tsa.dɡeoə	na	0	0	0	0	0	0	0	0	0	0	1!	2	1	1	1	5	3	1	2	2
	ka.k̠͡x̠a.ʔi.tsa.dɡeo	na	1!	0	0	1	1	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	ka.ka.ʔi.tsa.dŋ+eo	na	0	0	0	0	1!	1	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.ka.ʔi.tsɛ.tɡeo	na	0	0	0	1!	1	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ɡ+ʰa.ka.ʔi.tsa.dɡeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	4	3	1	2	2
	atʔ.ka.ʔi.tsa.tɡeo	na	0	0	0	0	0	0	1!	1	0	1	0	1	0	0	0	7	4	1	4	2
	ka.g͡ba.ʔi.tsa.dɡeo	na	1!	0	0	1	0	0	0	0	0	0	0	1	1	1	2	4	3	1	2	2
	at.ka.ʔi.tsa.tɡeʔo	na	0	0	0	0	0	0	1!	1	0	0	0	1	0	0	0	7	4	0	3	2
	at.ka.ʔi.tsa.tk̠͡x̠eo	na	0	0	0	0	1!	1	1	1	0	0	0	0	0	0	1	7	4	1	3	2
	at.kɨ.ʔi.tsa.tɡeo	na	1!	0	0	1	0	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsa.dɣeo	na	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	1	2	2
	at.qʰa.ʔi.tsa.tɡeo	na	1!	1	0	0	1	1	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsa.dkʰeo	na	0	1!	0	0	0	0	0	0	0	0	0	1	1	1	2	6	3	1	2	2
	at.kæ.ʔi.tsa.tɡeo	na	0	0	0	0	1!	0	1	1	0	0	0	0	0	0	0	6	4	1	3	2
	ka.ka.ʔi.tsa.dɡjo	na	1!	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	3	0	3	2
