			Ident(high)	Nocoda	Onset	Agree(LABIAL)	*Complex Coda	Align-R	Max	Dep	Ident(voice)	*[+consonantal, -voice]	*[+consonantal, +CORONAL]	Agree(front)	*CC	*Complex Onset	Align-L
			Ident(high)	Nocoda	Onset	Agree(LABIAL)	*Complex Coda	Align-R	Max	Dep	Ident(voice)	*[+consonantal, -voice]	*[+consonantal, +CORONAL]	Agree(front)	*CC	*Complex Onset	Align-L
at.ka.ʔi.tsa.tɡeo	ka.ka.ʔi.tsa.dɡeo|na	1	0	0	0	0	0	0	1	1	1	5	3	1	2	2	1
	oooad.ka.ʔe.t͡sa.dfao|na		2	1	1	1	0	0	1	3	3	4	3	0	2	1	1
	at.ka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	ha.ha.ha.ha.ha.ha.ha|na		2	0	0	0	0	1	4	5	1	0	0	0	0	0	1
	ak+.ka.ʔi.tsa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	3	1	3	2	0
	at.ka.ʔi.tsa.dɡeo|na		0	1	1	0	0	0	0	0	1	5	4	1	3	2	0
	at.ka.ʔi.tsa.tɡeʉ|na		1	1	1	0	0	1	0	0	0	6	4	1	3	2	0
	æːt.ka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	1
	ak.ka.ʔi.tsa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	3	1	3	2	0
	at.ka.ʔi.tʂa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.ʔtɡeo|na		0	1	1	0	0	0	0	1	0	7	4	1	4	2	0
	at.ca.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	5	1	3	2	0
	ɘt.ka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	1
	at.ka.ʔi.tsa.kɡeo|na		1	1	1	0	0	0	0	0	0	6	3	1	3	2	0
	at.qa.ʔi.tsa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tɡeɒ|na		0	1	1	0	0	1	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tŋ˗eo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	atʔ.ka.ʔi.tsa.tɡeo|na		0	1	1	0	1	0	0	1	0	7	4	1	4	2	0
	at.ka.əʔi.tsa.tɡeo|na		0	1	2	0	0	0	0	1	0	6	4	1	3	2	0
	et.ka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	1
	at.ka.ʔi.tsa.tɡæo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tɡæːo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ʈa.ʔi.tsa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	5	1	3	2	0
	at.ka.ʔi.tsaː.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	aʔ.ka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	3	1	3	2	0
	at.kaʔ.ʔi.tsa.tɡeo|na		0	2	1	0	0	0	0	1	0	7	4	1	4	2	0
	at.ka.ʔi.tsa.tɡɛːo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.t͡ɬɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.k+sa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	3	1	3	2	0
	atə.ka.ʔi.tsa.tɡeo|na		0	0	1	0	0	0	0	1	0	6	4	1	2	2	0
	at.ɡa.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	1	5	4	1	3	2	0
	at.ka.ʔi.psa.tɡeo|na		0	1	1	1	0	0	0	0	0	6	3	1	3	2	0
	at.ɡ͡ɣa.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	1	5	4	1	3	2	0
	aɖ.ka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	1	5	4	1	3	2	0
	at.ka.ʔi.tsɘ.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tɡeuː|na		1	1	1	0	0	1	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.k̠ɡeo|na		1	1	1	0	0	0	0	0	0	6	3	1	3	2	0
	at.ka.ʔi.tsɑ.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.q͡χa.ʔi.tsa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔɯ.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.t̪͡θɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.td͡ʑeo|na		0	1	1	0	0	0	0	0	0	6	5	1	3	2	0
	at.ka.ʔi.txa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	3	1	3	2	0
	ɤt.ka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	1
	at.ka.ʔi.tsa.tɡeoː|na		0	1	1	0	0	1	0	0	0	6	4	1	3	2	0
	at.ka.ʔiə.tsa.tɡeo|na		0	1	1	0	0	0	0	1	0	6	4	2	3	2	0
	at.ka.ʔi.tʔsa.tɡeo|na		0	1	1	0	0	0	0	1	0	7	4	1	4	2	0
	ap͡t.ka.ʔi.tsa.tɡeo|na		0	1	1	1	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.ɖsa.tɡeo|na		0	1	1	0	0	0	0	0	1	5	4	1	3	2	0
	at.ka.ʔi.tsa.tɡeɤ|na		0	1	1	0	0	1	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tħa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	3	1	3	2	0
	at.kʌ.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	aːt.ka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	1
	at.ka.ʔi.tsa.tk+eo|na		0	1	1	0	0	0	0	0	1	7	4	1	3	2	0
	at.ka.ti.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	5	1	3	2	0
	at.ka.ʔi.tsa.tɡeəo|na		0	1	1	0	0	0	0	1	0	6	4	1	3	2	0
	at.ka.ʔi.ətsa.tɡeo|na		0	1	2	0	0	0	0	1	0	6	4	2	3	1	0
	at.ka.ʔi.tsa.tɉ͡ʝeo|na		0	1	1	0	0	0	0	0	0	6	5	1	3	2	0
	at.ka.ʔʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	1	0	7	4	1	4	3	0
	at.ka.ʔɘ.tsa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsʔa.tɡeo|na		0	1	1	0	0	0	0	1	0	7	4	1	4	2	0
	ɑːt.ka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	1
	at.ka.ʔi.tsa.tɡeɒː|na		0	1	1	0	0	1	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.k+ɡeo|na		1	1	1	0	0	0	0	0	0	6	3	1	3	2	0
	ak̠.ka.ʔi.tsa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	3	1	3	2	0
	at.ka.ʔæ.tsa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tɡeu|na		1	1	1	0	0	1	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tk+͡x+eo|na		0	1	1	0	0	0	0	0	1	7	4	1	3	2	0
	at.ka.ʔi.tsæ.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	ɑt.ka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	1
	at.ka.ʔi.tsa.tk͡peo|na		0	1	1	1	0	0	0	0	1	7	4	1	3	2	0
	at.ka.ʔi.tsa.tɡeɵː|na		0	1	1	0	0	1	0	0	0	6	4	1	3	2	0
	aʔt.ka.ʔi.tsa.tɡeo|na		0	1	1	0	1	0	0	1	0	7	4	1	4	2	0
	at.kɘ.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tʃa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsəː.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tɣ+eo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.k+͡x+a.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tɡɘo|na		0	1	1	0	0	0	0	0	0	6	4	0	3	2	0
	at.ka.ʔ.tsa.tɡeo|na		0	2	1	0	0	0	1	0	0	6	4	1	4	2	0
	at.k͡xa.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.ʔtsa.tɡeo|na		0	1	1	0	0	0	0	1	0	7	4	1	4	2	0
	at.ka.ʔi.ts.tɡeo|na		0	2	1	0	1	0	1	0	0	6	4	1	4	2	0
	at.ka.ʔi.tsa.ʔɡeo|na		0	1	1	0	0	0	0	0	0	6	3	1	3	2	0
	ʔat.ka.ʔi.tsa.tɡeo|na		0	1	0	0	0	0	0	1	0	7	4	1	3	2	1
	at.ka.ʔi.ksa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	3	1	3	2	0
	at.ka.ʔi.ʔsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	3	1	3	2	0
	at.ka.ʔi.sa.tɡeo|na		0	1	1	0	0	0	1	0	0	5	3	1	2	1	0
	at.ka.ʔi.tsa.tɡʔeo|na		0	1	1	0	0	0	0	1	0	7	4	1	4	2	0
	at.ka.ʔi.tsaʔ.tɡeo|na		0	2	1	0	0	0	0	1	0	7	4	1	4	2	0
	at.ka.ʔi.tsæː.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.kɛ.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.təɡeo|na		0	1	1	0	0	0	0	1	0	6	4	1	2	1	0
	at.ɢa.ʔi.tsa.tɡeo|na		1	1	1	0	0	0	0	0	1	5	4	1	3	2	0
	at.a.ʔi.tsa.tɡeo|na		0	1	2	0	0	0	1	0	0	5	4	1	2	2	0
	at.t͡ɕa.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	5	1	3	2	0
	at.ka.ʔi.dsa.tɡeo|na		0	1	1	0	0	0	0	0	1	5	4	1	3	2	0
	at.ɉa.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	1	5	5	1	3	2	0
	at.ka.ʔi.tʈ͡ʂa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.xa.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.kæ.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ɡ+a.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	1	5	4	1	3	2	0
	at.ka.ʔɨː.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tqeo|na		1	1	1	0	0	0	0	0	1	7	4	1	3	2	0
	at.ka.ʔɰ.tsa.tɡeo|na		0	2	1	0	1	0	0	0	0	6	4	1	5	3	0
	at.ka.ʔi.tsa.tɡio|na		1	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tɡ+͡ɣ+eo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tɡeø|na		0	1	1	0	0	1	0	0	0	6	4	0	3	2	0
	at.ka.pi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	ad.ka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	1	5	4	1	3	2	0
	at.ka.ʔi.tsa.tk̠eo|na		0	1	1	0	0	0	0	0	1	7	4	1	3	2	0
	at.kɑ.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.t͡sɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tɡøo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tɡeoʔ|na		0	2	1	0	0	1	0	1	0	7	4	1	3	2	0
	at.ka.ʔi.tx̠a.tɡeo|na		1	1	1	0	0	0	0	0	0	6	3	1	3	2	0
	at.ka.ʔɪː.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tɡao|na		0	1	1	0	0	0	0	0	0	6	4	0	3	2	0
	at.ka.ʔi.tsa.tɡəeo|na		0	1	1	0	0	0	0	1	0	6	4	2	3	2	0
	at.ka.ʔi.tsɛ.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.ta.tɡeo|na		0	1	1	0	0	0	1	0	0	5	3	1	2	1	0
	at.ka.ʔi.tsa.tɡo|na		0	1	1	0	0	0	1	0	0	6	4	0	3	2	0
	aət.ka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	1	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.ɡeo|na		0	1	1	0	0	0	1	0	0	5	3	1	2	1	0
	at.ɡ+͡ɣ+a.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	1	5	4	1	3	2	0
	at.ta.ʔi.tsa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	5	1	3	2	0
	at.g͡ba.ʔi.tsa.tɡeo|na		0	1	1	1	0	0	0	0	1	5	4	1	3	2	0
	at.ka.ʔi.tsa.tɡɤo|na		0	1	1	0	0	0	0	0	0	6	4	0	3	2	0
	at.ka.ʔi.tsa.tɡeːo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.k+i.tsa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tɡeʊ|na		1	1	1	0	0	1	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tx+a.tɡeo|na		1	1	1	0	0	0	0	0	0	6	3	1	3	2	0
	at.ka.ʔi.tsa.tɡ͡ɣeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tza.tɡeo|na		0	1	1	0	0	0	0	0	1	5	4	1	3	2	0
	at.ka.ʔi.tsa.teo|na		0	1	1	0	0	0	1	0	0	6	4	1	2	1	0
	at.ka.ʔi.td͡za.tɡeo|na		0	1	1	0	0	0	0	0	1	5	4	1	3	2	0
	at.ka.ʔe.tsa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tɡ̠̠͡ɣ̠eo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tɡeɔː|na		0	1	1	0	0	1	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.ətɡeo|na		0	1	2	0	0	0	0	1	0	6	4	1	3	1	0
	at.kæː.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	aʈ.ka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tɬa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tɸa.tɡeo|na		0	1	1	1	0	0	0	0	0	6	3	1	3	2	0
	at.ka.ʔi.tsɤ.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsɨ.tɡeo|na		1	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.kə.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.k̠sa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	3	1	3	2	0
	at.ka.ʔi.tsa.tɡeɞ|na		0	1	1	0	0	1	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tɢ͡ʁeo|na		1	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tɡeɔ|na		0	1	1	0	0	1	0	0	0	6	4	1	3	2	0
	at͡ɬ.ka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔj.tsa.tɡeo|na		0	2	1	0	1	0	0	0	0	6	4	1	5	3	0
	at.k͡pa.ʔi.tsa.tɡeo|na		0	1	1	1	0	0	0	0	0	6	4	1	3	2	0
	a.ka.ʔi.tsa.tɡeo|na		0	0	1	0	0	0	1	0	0	5	3	1	2	2	0
	ɘːt.ka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	1
	at.kɤ.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsɑː.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tθa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tk͡xeo|na		0	1	1	0	0	0	0	0	1	7	4	1	3	2	0
	at.c͡ça.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	5	1	3	2	0
	at.ka.ʔi.t͡ɬsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tɡɛo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	aq.ka.ʔi.tsa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	3	1	3	2	0
	at.kɑː.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsɘː.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tɢeo|na		1	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔəi.tsa.tɡeo|na		0	1	1	0	0	0	0	1	0	6	4	2	3	2	0
	at.ka.ʔi.tsa.tɣeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tɡew|na		1	2	1	0	0	1	0	0	0	6	4	0	3	2	0
	at.ka.ʔɛ.tsa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	t.ka.ʔi.tsa.tɡeo|na		0	1	0	0	0	0	1	0	0	6	4	1	3	2	1
	at.ka.ʔi.tsa.tɡeɵ|na		0	1	1	0	0	1	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tŋ+eo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.təsa.tɡeo|na		0	1	1	0	0	0	0	1	0	6	4	1	2	1	0
	ʌt.ka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	1
	at.ka.ʔi.tsa.tɡəo|na		0	1	1	0	0	0	0	0	0	6	4	0	3	2	0
	at.ka.ʔi.t̪͡θsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔiʔ.tsa.tɡeo|na		0	2	1	0	0	0	0	1	0	7	4	1	4	2	0
	at.ka.ʔɪ.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ʔka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	1	0	7	4	1	4	3	0
	at.ka.ʔi.tt̪͡s̪a.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ɡ̠a.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	1	5	4	1	3	2	0
	at.ka.ʔi.tsa.tɣ̠ eo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tg͡beo|na		0	1	1	1	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tɖeo|na		1	1	1	0	0	0	0	0	0	6	5	1	3	2	0
	ɨt.ka.ʔi.tsa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	4	1	3	2	1
	at.pa.ʔi.tsa.tɡeo|na		1	1	1	1	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tbeo|na		1	1	1	1	0	0	0	0	0	6	4	1	3	2	0
	at.əka.ʔi.tsa.tɡeo|na		0	1	2	0	0	0	0	1	0	6	4	1	2	2	0
	at.ka.ʔeː.tsa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	ət.ka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	1
	at.ka.ʔi.tse.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.kəː.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.qɡeo|na		1	1	1	0	0	0	0	0	0	6	3	1	3	2	0
	at.x+a.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.ʈɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsaə.tɡeo|na		0	1	1	0	0	0	0	1	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.pɡeo|na		0	1	1	1	0	0	0	0	0	6	3	1	3	2	0
	at.ka.ʔi.tsa.tɡɪo|na		1	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.kəa.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	1	0	6	4	1	3	2	0
	at.k̠͡x̠a.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʈi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	5	1	3	2	0
	ɛt.ka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	1
	at.ka.ʔi.tsa.tɡɰo|na		1	1	1	0	0	0	0	0	0	6	4	0	4	2	0
	at.ka.qi.tsa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	əːt.ka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	1
	at.ka.ʔi.tsa.tɡjo|na		1	1	1	0	0	0	0	0	0	6	4	0	4	2	0
	at.ka.ʔi.tsa.tɉeo|na		0	1	1	0	0	0	0	0	0	6	5	1	3	2	0
	əat.ka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	1	0	6	4	1	3	2	1
	at.ka.i.tsa.tɡeo|na		0	1	2	0	0	0	1	0	0	5	4	2	3	2	0
	at.kaː.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsʌ.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tɡɨo|na		1	1	1	0	0	0	0	0	0	6	4	0	3	2	0
	at.ka.ʔi.tsa.ɖɡeo|na		0	1	1	0	0	0	0	0	1	5	4	1	3	2	0
	at.ka.ʔi.tsa.tɡɘːo|na		0	1	1	0	0	0	0	0	0	6	4	0	3	2	0
	at.ka.ʔi.tʐa.tɡeo|na		0	1	1	0	0	0	0	0	1	5	4	1	3	2	0
	ap.ka.ʔi.tsa.tɡeo|na		0	1	1	1	0	0	0	0	0	6	3	1	3	2	0
	at.ʔa.ʔi.tsa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at͡s.ka.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.kɘː.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.p͡tɡeo|na		0	1	1	1	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tceo|na		0	1	1	0	0	0	0	0	1	7	5	1	3	2	0
	at.ka.ʔi.tsa.tɡeoə|na		0	1	1	0	0	1	0	1	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tʔɡeo|na		0	1	1	0	0	0	0	1	0	7	4	1	4	2	0
	at.ka.ʔi.tɕa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.ʈsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.kʔa.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	1	0	7	4	1	4	3	0
	at.ke.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.tsa.tɡe|na		0	1	1	0	0	1	1	0	0	6	4	0	3	2	0
	at.ka.ʔi.tsa.tɡeʔo|na		0	1	1	0	0	0	0	1	0	7	4	0	3	2	0
	at.ka.ʔi.tsəa.tɡeo|na		0	1	1	0	0	0	0	1	0	6	4	1	3	2	0
	at.kɨ.ʔi.tsa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ki.tsa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.ka.ʔi.t͡ssa.tɡeo|na		0	1	1	0	0	0	0	0	0	6	4	1	3	2	0
	at.kaə.ʔi.tsa.tɡeo|na		0	1	1	0	0	0	0	1	0	6	4	1	3	2	0
	at.ka.ʔi.qsa.tɡeo|na		1	1	1	0	0	0	0	0	0	6	3	1	3	2	0
	at.ka.ʔi.tsa.tdeo|na		1	1	1	0	0	0	0	0	0	6	5	1	3	2	0
	at.ka.ʔi.tsa.tk̠͡x̠eo|na		0	1	1	0	0	0	0	0	1	7	4	1	3	2	0
